area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,distance,price,market_pierwotny,market_wtórny,form of ownership_pełna własność,form of ownership_spółdzielcze wł. prawo do lokalu,form of ownership_udział,form of ownership_użytkowanie wieczyste / dzierżawa,district_Bieńczyce,district_Bieżanów-Prokocim,district_Bronowice,district_Czyżyny,district_Dębniki,district_Grzegórzki,district_Henryka Niewodniczańskiego,district_Krowodrza,district_Mistrzejowice,district_Nowa Huta,district_Podgórze,district_Podgórze Duchackie,district_Prądnik Biały,district_Prądnik Czerwony,district_Rajsko,district_Stare Miasto,district_Swoszowice,district_Tytusa Chałubińskiego,district_Wawel,district_Wzgórza Krzesławickie,district_Zwierzyniec,district_Łagiewniki-Borek Fałęcki
26.18,14190.03,0,4,1,2023.0,True,8.943634438628886,371495.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.76,15100.93,2,4,1,2023.0,True,8.943634438628886,389000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.41,15702.48,4,4,1,2023.0,True,8.943634438628886,399000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.76,15489.13,1,4,1,2023.0,True,8.943634438628886,399000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.18,15240.64,0,4,1,2023.0,True,8.943634438628886,399000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.87,12515.68,1,4,2,2023.0,True,8.943634438628886,499000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.09,12200.0,2,4,2,2023.0,True,8.943634438628886,550098.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.09,12200.0,3,4,2,2023.0,True,8.943634438628886,550098.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.1,13600.97,1,4,2,2023.0,True,8.943634438628886,559000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.07,13854.39,0,4,2,2023.0,True,8.943634438628886,569000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
