area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,latitude,longitude,distance,market_pierwotny,market_wtórny,form of ownership_pełna własność,form of ownership_spółdzielcze wł. prawo do lokalu,form of ownership_udział,form of ownership_użytkowanie wieczyste / dzierżawa,district_Bieńczyce,district_Bieżanów-Prokocim,district_Bronowice,district_Czyżyny,district_Dębniki,district_Grzegórzki,district_Krowodrza,district_Mistrzejowice,district_Nowa Huta,district_Podgórze,district_Podgórze Duchackie,district_Prądnik Biały,district_Prądnik Czerwony,district_Stare Miasto,district_Swoszowice,district_Wzgórza Krzesławickie,district_Zwierzyniec,district_Łagiewniki-Borek Fałęcki
52.33,11100.0,2,4,2,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49.7,11700.0,1,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52.33,11334.99,3,4,2,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44.5,13460.67,1,2,2,1997.0,False,50.022046,20.0461313,8.943634438628886,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47.1,12717.62,4,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46.57,13077.09,2,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46.58,13074.28,3,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47.11,12927.19,4,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47.11,12927.19,1,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.21,12129.06,3,4,2,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.21,12129.06,1,4,2,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.21,12328.22,0,4,2,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36.8,16983.7,4,4,2,2019.0,True,50.022046,20.0461313,8.943634438628886,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36.8,16983.0,4,4,2,2019.0,True,50.022046,20.0461313,8.943634438628886,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36.8,16983.7,4,4,2,2019.0,False,50.022046,20.0461313,8.943634438628886,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
