url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-84m2-ogrodek-bez-prowizji-ID4fET8,4-pokojowe mieszkanie 84m2 + ogródek Bez Prowizji,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",1 262 881 zł,"84,59 m²",14 929 zł/m²,parter/8,4,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,ogródek,,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-52m2-2-ogrodki-ID4lycW,3-pokojowe mieszkanie 52m2 + 2 ogródki,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie",Zapytaj o cenę,"52,79 m²",,parter/4,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,"taras, ogródek",,
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-krakow-podgorze-plaszow-lipska-ID4oxW4,Mieszkanie 3 pokoje Kraków Podgórze Płaszów Lipska,"Płaszów, Podgórze, Kraków, małopolskie",740 000 zł,"52,3 m²",14 149 zł/m²,3/4,3,1998,,wtórny,pełna własność,do zamieszkania,600 zł,miejskie,prywatny,nie,balkon,blok,żelbet
https://www.otodom.pl/pl/oferta/krakow-ul-obozowa-dwupoziomowe-mieszkanie-mb-ID4lVB6,Kraków|ul. Obozowa|Dwupoziomowe mieszkanie|Mb,"Ruczaj, Dębniki, Kraków, małopolskie",1 367 000 zł,"115,2 m²",11 866 zł/m²,1/4,3,2008,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,,,biuro nieruchomości,nie,"balkon, taras",blok,brak informacji
https://www.otodom.pl/pl/oferta/fort-natura-mieszkanie-3-pok-a2-94-ID4pydj,Fort Natura | mieszkanie 3-pok. | A2.94,"ul. Józefa Wybickiego, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie",957 000 zł,"54,09 m²",17 693 zł/m²,7/7,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,inne,,,,,
https://www.otodom.pl/pl/oferta/bez-prowizji-3-pokoje-garaz-wysoki-standard-ID4opjU,bez prowizji | 3 pokoje | garaż | wysoki standard,"ul. Smętna, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",1 100 000 zł,"66,5 m²",16 541 zł/m²,1/2,3,2011,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,800 zł,miejskie,prywatny,tak,balkon,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/osiedle-zodiak-nowe-mieszkanie-39-m38-ID4my7j,Osiedle Zodiak | nowe mieszkanie 39 M38,"ul. Mariana Domagały, Złocień, Bieżanów-Prokocim, Kraków, małopolskie",399 000 zł,"25,9 m²",15 405 zł/m²,parter/4,1,2023,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,deweloper,tak,ogródek,blok,brak informacji
https://www.otodom.pl/pl/oferta/4-pokojowy-apartament-99m2-balkon-ID4mz6d,4-pokojowy apartament 99m2 + balkon,"ul. Spiżowa, Małe Błonia, Krowodrza, Kraków, małopolskie",1 898 723 zł,"99,15 m²",19 150 zł/m²,1/3,4,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/bronowice-3-pokoje-osobna-kuchnia-balkon-55m2-ID4oynO,"Bronowice, 3 pokoje, osobna kuchnia,balkon, 55m2","Bronowice, Bronowice, Kraków, małopolskie",769 000 zł,55 m²,13 982 zł/m²,6/1,3,1974,,wtórny,pełna własność,do zamieszkania,550 zł,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/grzegorzki-masarska-2pok-eng-ru-ID4oygU,Grzegórzki | Masarska | 2pok. | Eng/Ru,"ul. Masarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",990 000 zł,39 m²,25 385 zł/m²,parter/5,2,2014,garaż/miejsce parkingowe,wtórny,,do zamieszkania,500 zł,miejskie,biuro nieruchomości,tak,ogródek,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-loggia-bezposrednio-ID4ovsD,2-pokojowe mieszkanie 40m2 + loggia Bezpośrednio,"ul. Do Wilgi, Cegielniana, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",Zapytaj o cenę,"40,6 m²",,2/4,2,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,,,
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-balkon-ID4oySs,2-pokojowe mieszkanie 41m2 + balkon,"ul. Mochnaniec, Skotniki, Dębniki, Kraków, małopolskie",Zapytaj o cenę,"41,07 m²",,2/3,2,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-98m-na-klinach-ID4pFfN,Dwupoziomowe mieszkanie 98m na Klinach,"ul. prof. Bolesława Wiktora Wicherkiewicza, Kliny, Swoszowice, Kraków, małopolskie",990 000 zł,71 m²,13 944 zł/m²,3/3,4,2000,garaż/miejsce parkingowe,wtórny,,do zamieszkania,504 zł,gazowe,biuro nieruchomości,nie,balkon,blok,cegła
https://www.otodom.pl/pl/oferta/widokowe-2-pok-w-swietnej-lokalizacji-wieczysta-ID4pFfV,Widokowe 2 pok w świetnej lokalizacji –Wieczysta,"ul. Śliczna, Rakowice, Prądnik Czerwony, Kraków, małopolskie",695 000 zł,"49,4 m²",14 069 zł/m²,9/10,2,1982,,wtórny,,,,,biuro nieruchomości,tak,,blok,wielka płyta
https://www.otodom.pl/pl/oferta/stare-podgorze-3-pokoje-balkon-wyposazenie-ID4pFgk,Stare Podgórze | 3 pokoje | balkon | wyposażenie,"rynek Podgórski, Stare Podgórze, Podgórze, Kraków, małopolskie",1 650 000 zł,47 m²,35 106 zł/m²,1/3,3,2014,garaż/miejsce parkingowe,wtórny,,,690 zł,,biuro nieruchomości,nie,balkon,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/ostatnia-kawalerka-okazja-ID4pFgQ,Ostatnia kawalerka! Okazja!,"ul. Grochowa, Płaszów, Podgórze, Kraków, małopolskie",585 000 zł,"33,3 m²",17 568 zł/m²,1/5,2,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,300 zł,inne,biuro nieruchomości,tak,balkon,blok,inny
https://www.otodom.pl/pl/oferta/przytulne-m-szuka-nowego-wlasciciela-ID4pFgz,Przytulne M szuka nowego właściciela,"os. Jagiellońskie, Bieńczyce, Bieńczyce, Kraków, małopolskie",590 000 zł,"42,41 m²",13 912 zł/m²,3/4,2,1964,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,450 zł,miejskie,biuro nieruchomości,nie,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-na-bielanach-ID4pFja,Mieszkanie na Bielanach,"Bielany, Zwierzyniec, Kraków, małopolskie",519 000 zł,"36,76 m²",14 119 zł/m²,1/2,1,1958,,wtórny,pełna własność,do remontu,,gazowe,biuro nieruchomości,nie,,blok,cegła
https://www.otodom.pl/pl/oferta/nowe-osiedle-brak-pcc-i-prowizji-balkon-ID4pFi7,Nowe osiedle | brak Pcc i prowizji | balkon,"ul. Wielicka, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",528 920 zł,38 m²,13 919 zł/m²,4/7,2,brak informacji,garaż/miejsce parkingowe,pierwotny,pełna własność,,,,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/wejdz-i-zamieszkaj-tuz-obok-zalewu-nowohuckiego-ID4pFj9,Wejdź i zamieszkaj tuż obok Zalewu Nowohuckiego!,"ul. Bulwarowa, Zalew Nowohucki, Bieńczyce, Kraków, małopolskie",890 000 zł,63 m²,14 127 zł/m²,2/3,2,2010,,wtórny,pełna własność,do zamieszkania,700 zł,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/bezposrednio-9-911-m2-2-pokoje-kuchnia-60-44-ID4ppIo,"BEZPOŚREDNIO – (9.911/m2) 2 pokoje, kuchnia, 60,44","ul. Smoleńsk, Nowy Świat, Stare Miasto, Kraków, małopolskie",599 000 zł,"60,44 m²",9 911 zł/m²,2/2,2,1880,,wtórny,pełna własność,do wykończenia,,miejskie,prywatny,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/biuro-sprzedazy-marcowe-promocje-zlap-okazje-ID4pFlk,Biuro Sprzedaży: Marcowe Promocje! Złap Okazję,"Stare Podgórze, Podgórze, Kraków, małopolskie",715 611 zł,"38,17 m²",18 748 zł/m²,2/4,2,2024,garaż/miejsce parkingowe,pierwotny,,do wykończenia,3 zł,miejskie,biuro nieruchomości,tak,"balkon, ogródek, taras",apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/biuro-sprzedazy-marcowe-promocje-zlap-okazje-ID4pFll,Biuro Sprzedaży: Marcowe Promocje! Złap Okazję,"Stare Podgórze, Podgórze, Kraków, małopolskie",1 005 930 zł,"57,62 m²",17 458 zł/m²,2/4,4,2024,garaż/miejsce parkingowe,pierwotny,,do wykończenia,3 zł,miejskie,biuro nieruchomości,tak,"balkon, ogródek, taras",apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/stare-miasto-rakowicka-2pok-38-52m2-eng-rus-ID4pFkm,"Stare Miasto | Rakowicka | 2pok | 38,52m2 |Eng|Rus","ul. Rakowicka, Wesoła Wschód, Grzegórzki, Kraków, małopolskie",962 750 zł,"38,51 m²",25 000 zł/m²,1/6,2,2020,,wtórny,,do zamieszkania,500 zł,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/2-pok-po-remoncie-os-jagiellonskie-ID4pFlB,2 pok po remoncie os. Jagiellońskie.,"os. Jagiellońskie, Bieńczyce, Bieńczyce, Kraków, małopolskie",575 000 zł,"34,5 m²",16 667 zł/m²,2/4,2,1965,,wtórny,,do zamieszkania,500 zł,miejskie,biuro nieruchomości,nie,,blok,brak informacji
https://www.otodom.pl/pl/oferta/gotowy-apartament-4-pok-garaz-komorka-2-balkony-ID4pFn2,Gotowy apartament 4 pok garaż komórka 2 balkony,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",1 180 000 zł,"84,56 m²",13 955 zł/m²,3/6,4,2023,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,800 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/biuro-sprzedazy-marcowe-promocje-zlap-okazje-ID4pFlm,Biuro Sprzedaży: Marcowe Promocje! Złap Okazję,"Stare Podgórze, Podgórze, Kraków, małopolskie",908 826 zł,"51,55 m²",17 630 zł/m²,1/4,3,2024,garaż/miejsce parkingowe,pierwotny,,do wykończenia,3 zł,miejskie,biuro nieruchomości,tak,"balkon, ogródek, taras",apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/bezposrednio-7-209-m2-2-pom-36-62m2-smolensk-ID4ppJY,"BEZPOŚREDNIO (7.209/m2) – 2 pom. 36,62m2. Smoleńsk","ul. Smoleńsk, Nowy Świat, Stare Miasto, Kraków, małopolskie",264 000 zł,"36,62 m²",7 209 zł/m²,suterena/2,2,1880,,wtórny,,do wykończenia,,miejskie,prywatny,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-ogrodek-bezposrednio-ID4nJuC,3-pokojowe mieszkanie 64m2 + ogródek Bezpośrednio,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",943 005 zł,"64,15 m²",14 700 zł/m²,parter/4,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,"taras, ogródek",,
https://www.otodom.pl/pl/oferta/nowe-mieszkania-na-gorce-narodowej-ID4pFlJ,Nowe mieszkania na Górce Narodowej,"29 listopada - okolice, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",778 689 zł,"61,3 m²",12 703 zł/m²,1/5,2,2023,garaż/miejsce parkingowe,pierwotny,pełna własność,,,miejskie,biuro nieruchomości,tak,balkon,brak informacji,brak informacji
