url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/24884651.html","Apartament, ul. Turniejowa","Turniejowa, Kurdwanów, Kraków, małopolskie",799 000 zł,"53,80 m²","14 851,30 zł/m²",2,3,2,2000,garaż w bryle budynku,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/24894569.html","Kawalerka, ul. Seweryna","Seweryna, Dzielnica XIII Podgórze, Kraków, małopolskie",440 000 zł,"24,68 m²","17 828,20 zł/m²",1,4,1,1970,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24827342.html","Mieszkanie, ul. Wygoda","Wygoda, Stare Miasto, Kraków, małopolskie",1 494 450 zł,"72,90 m²",20 500 zł/m²,2,3,3,-,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24887062.html","Mieszkanie, ul. Studencka","Studencka 29, Stare Miasto, Kraków, małopolskie",2 250 000 zł,"115,20 m²","19 531,25 zł/m²",2,3,4,1902,przynależne na terenie ogrodzonym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24893226.html","Mieszkanie, ul. Komandosów","Komandosów, Dębniki, Kraków, małopolskie",719 000 zł,"47,50 m²","15 136,84 zł/m²",1,4,3,1972,tak,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,nad-rzeka/24871471.html","Mieszkanie, ul. Słomiana","Słomiana, Dębniki, Kraków, małopolskie",699 000 zł,"47,60 m²","14 684,87 zł/m²",parter,4,3,1972,tak,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,kollataja-12/24553383.html?2%2Cmieszkanie","Nowe mieszkanie Wesoła, ul. Hugona Kołłątaja 12",,686 000 zł,"34,67 m²","19 786,56 zł/m²",I kwartał 2024,,parter,2,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,kollataja-12/24553371.html?2%2Cmieszkanie","Nowe mieszkanie Wesoła, ul. Hugona Kołłątaja 12",,1 023 000 zł,"43,35 m²","23 598,62 zł/m²",I kwartał 2024,,4,2,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,kollataja-12/24556498.html?2%2Cmieszkanie","Nowe mieszkanie Wesoła, ul. Hugona Kołłątaja 12",,1 047 000 zł,"59,16 m²","17 697,77 zł/m²",I kwartał 2024,,parter,3,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24868323.html","Apartament, ul. Pawlickiego","Pawlickiego, Dębniki, Kraków, małopolskie",1 150 000 zł,"62,32 m²","18 453,15 zł/m²",parter,3,3,2014,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,deweloperski/24858612.html","Mieszkanie, ul. Potrzask","Potrzask, Bieżanów, Kraków, małopolskie",429 000 zł,"34,30 m²","12 507,29 zł/m²",parter,4,2,2024,przynależne na terenie ogrodzonym,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24812006.html","Mieszkanie, ul. Staffa","Staffa 5, Krowodrza, Kraków, małopolskie",1 149 000 zł,"69,17 m²","16 611,25 zł/m²",parter,4,3,1958,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu,przy-lesie/24875252.html","Mieszkanie, ul. Bronowicka","Bronowicka 52a, Bronowice Małe, Kraków, małopolskie",549 000 zł,"36,38 m²","15 090,71 zł/m²",parter,3,2,1960,parking publiczny / na ulicy,wtórny,spółdzielcze własnościowe
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,przy-lesie/24770088.html","Mieszkanie, ul. Morcinka","Morcinka, Dłubnia, Kraków, małopolskie",669 000 zł,"45,89 m²","14 578,34 zł/m²",2,3,3,2022,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,nowe-wykonczone/24724213.html",Apartament Kraków,"Kraków, małopolskie",699 000 zł,105 m²,"6 657,14 zł/m²",1,1,4,2023,przynależne na terenie ogrodzonym,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24310074.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,574 128 zł,"43,20 m²",13 290 zł/m²,sierpień 2024,,1,2,garaż,sierpień 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24308215.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,904 797 zł,"71,30 m²",12 690 zł/m²,sierpień 2024,,2,4,garaż,sierpień 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24309289.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,763 430 zł,"60,16 m²",12 690 zł/m²,sierpień 2024,,2,4,garaż,sierpień 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24800480.html","Mieszkanie, ul. Nefrytowa","Nefrytowa, Złocień, Kraków, małopolskie",440 000 zł,"30,10 m²","14 617,94 zł/m²",parter,3,1,2001,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/23474678.html","Apartament, ul. Gdańska","Gdańska 12, Prądnik Czerwony, Kraków, małopolskie",996 000 zł,"61,32 m²","16 242,66 zł/m²",3,3,3,2020,garaż w bryle budynku,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/24880548.html","Mieszkanie, ul. Wrocławska","Wrocławska, Łobzów, Kraków, małopolskie",570 000 zł,"41,23 m²","13 824,88 zł/m²",4,8,2,1966,-,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24691722.html","Mieszkanie, ul. Lea","Lea, Krowodrza, Kraków, małopolskie",995 000 zł,48 m²,"20 729,17 zł/m²",-,,3,-,parking publiczny / na ulicy,wtórny,
"https://zalesie.nieruchomosci-online.pl/nowe-mieszkanie,apartamenty-zalesie/24338632.html?2%2Cmieszkanie",Nowe mieszkanie Zalesie,,610 955 zł,"72,56 m²",8 420 zł/m²,I kwartał 2025,,parter,4,naziemne,I kwartał 2025,pierwotny (oferta dewelopera)
"https://zalesie.nieruchomosci-online.pl/nowe-mieszkanie,apartamenty-zalesie/24338655.html?2%2Cmieszkanie",Nowe mieszkanie Zalesie,,610 955 zł,"72,56 m²",8 420 zł/m²,I kwartał 2025,,parter,4,naziemne,I kwartał 2025,pierwotny (oferta dewelopera)
"https://zalesie.nieruchomosci-online.pl/nowe-mieszkanie,apartamenty-zalesie/24338587.html?2%2Cmieszkanie",Nowe mieszkanie Zalesie,,689 795 zł,"100,70 m²",6 850 zł/m²,I kwartał 2025,,1,4,naziemne,I kwartał 2025,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,przy-lesie/24881280.html","Mieszkanie, ul. Księcia Józefa","Księcia Józefa 363, Bielany, Kraków, małopolskie",900 000 zł,52 m²,"17 307,69 zł/m²",2,2,3,1950,przynależne na terenie ogrodzonym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24773654.html",Mieszkanie,"Mozarta, Prądnik Biały, Kraków, małopolskie",1 150 000 zł,78 m²,"14 743,59 zł/m²",3,6,3,2008,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/24811170.html","Mieszkanie, ul. Tuchowska","Tuchowska, Kurdwanów, Kraków, małopolskie",740 000 zł,"49,38 m²","14 985,82 zł/m²",3,4,2,1997,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24889056.html","Mieszkanie, ul. Nadwiślańska","Nadwiślańska 11, Stare Podgórze, Kraków, małopolskie",950 000 zł,"35,50 m²","26 760,56 zł/m²",3,6,2,2014,parking strzeżony w pobliżu,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24880427.html","Mieszkanie, ul. Piltza","Piltza, Piltza, Kraków, małopolskie",655 000 zł,"48,88 m²","13 400,16 zł/m²",1,5,3,2023,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24625354.html","Mieszkanie, ul. Rezedowa","Rezedowa, Prądnik Czerwony, Kraków, małopolskie",1 050 000 zł,"71,80 m²","14 623,96 zł/m²",1,2,3,1995,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24776798.html","Mieszkanie, ul. Podbrzezie","Podbrzezie, Kazimierz, Kraków, małopolskie",1 490 000 zł,68 m²,"21 911,76 zł/m²",2,4,3,1897,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24885161.html",Mieszkanie,"Bytomska, Krowodrza, Kraków, małopolskie",1 139 000 zł,"74,72 m²","15 243,58 zł/m²",3,4,3,1940,przynależne na ulicy,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24847960.html","Mieszkanie, ul. Bociana","Bociana, Prądnik Biały, Kraków, małopolskie",769 000 zł,50 m²,15 380 zł/m²,1,7,2,2013,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24867428.html","Mieszkanie, ul. Brązownicza","Brązownicza, Dzielnica VI Bronowice, Kraków, małopolskie",1 360 783 zł,"70,69 m²","19 250,01 zł/m²",parter,4,3,2023,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24889106.html","Mieszkanie, Osiedle Albertyńskie","Osiedle Albertyńskie 19, Czyżyny, Kraków, małopolskie",500 000 zł,"35,50 m²","14 084,51 zł/m²",parter,4,2,1967,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24767248.html","Mieszkanie, ul. Turniejowa","Turniejowa, Dzielnica XI Podgórze Duchackie, Kraków, małopolskie",1 170 546 zł,"87,78 m²",13 335 zł/m²,2,9,4,2023,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/24852742.html","Apartament, ul. Ślusarska","Ślusarska, Zabłocie, Kraków, małopolskie",1 239 000 zł,"63,62 m²","19 475,01 zł/m²",4,7,3,2018,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24777069.html","Mieszkanie, ul. Kościuszki","Kościuszki, Salwator, Kraków, małopolskie",2 588 670 zł,"123,27 m²",21 000 zł/m²,2,5,4,2022,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24793640.html","Mieszkanie, ul. Wiosenna","Wiosenna, Wola Justowska, Kraków, małopolskie",2 041 375 zł,"116,65 m²",17 500 zł/m²,parter,1,4,2023,garaż wolnostojący,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24786048.html","Apartament, ul. Przedwiośnie","Przedwiośnie, Kraków, małopolskie",1 889 300 zł,70 m²,26 990 zł/m²,2,,3,2018,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24890701.html","Mieszkanie, ul. Sławkowska","Sławkowska, Stare Miasto, Kraków, małopolskie",1 590 000 zł,59 m²,"26 949,15 zł/m²",3,3,2,1970,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24858452.html","Apartament, ul. Dębskiego","Dębskiego, Dębniki, Kraków, małopolskie",1 199 000 zł,104 m²,"11 528,85 zł/m²",1,1,4,2019,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24875231.html",Mieszkanie Kraków,"Kraków, małopolskie",590 000 zł,"42,23 m²","13 971,11 zł/m²",5,10,2,1968,tak,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-kuchnia-z-oknem/24796404.html","Mieszkanie, ul. Tyniecka","Tyniecka, Pychowice, Kraków, małopolskie",1 350 000 zł,"119,45 m²","11 301,80 zł/m²",parter,2,4,2009,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu/24875190.html",Mieszkanie Kraków,"Kraków, małopolskie",620 000 zł,"38,32 m²","16 179,54 zł/m²",2,5,1,1960,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/24860791.html","Mieszkanie, ul. Balicka","Balicka 14b, Bronowice Małe, Kraków, małopolskie",749 000 zł,55 m²,"13 618,18 zł/m²",parter,4,2,2002,przynależne na terenie ogrodzonym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24875602.html","Mieszkanie, ul. Borowego","Borowego 35, Wola Justowska, Kraków, małopolskie",1 659 100 zł,"66,90 m²","24 799,70 zł/m²",1,3,3,2023,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24819851.html","Mieszkanie, ul. Brązownicza","Brązownicza 14, Bronowice Małe, Kraków, małopolskie",1 717 500 zł,"70,42 m²","24 389,38 zł/m²",2,3,3,2023,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24750721.html",Apartament,"Goszczyńskiego, Dzielnica XIII Podgórze, Kraków, małopolskie",1 080 800 zł,"67,55 m²",16 000 zł/m²,2,5,4,2022,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24779748.html","Mieszkanie, ul. Racławicka","Racławicka, Krowodrza, Kraków, małopolskie",595 000 zł,"37,89 m²","15 703,35 zł/m²",2,4,2,-,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24860388.html",Mieszkanie,"Teligi, Dzielnica XII Bieżanów-Prokocim, Kraków, małopolskie",820 164 zł,"66,68 m²",12 300 zł/m²,1,7,3,2024,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24741052.html","Mieszkanie, ul. Wrocławska","Wrocławska, Krowodrza, Kraków, małopolskie",860 000 zł,"45,93 m²","18 724,15 zł/m²",4,9,2,2018,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,city-vibe-2/24797696.html?2%2Cmieszkanie","Nowe mieszkanie Płaszów, ul. Myśliwska 68",,,"44,66 m²",,III kwartał 2025,,3,2,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,city-vibe-2/24797693.html?2%2Cmieszkanie","Nowe mieszkanie Płaszów, ul. Myśliwska 68",,,"44,66 m²",,III kwartał 2025,,4,2,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,city-vibe-2/24682844.html?2%2Cmieszkanie","Nowe mieszkanie Płaszów, ul. Myśliwska 68",,,"53,13 m²",,III kwartał 2025,,1,3,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24836282.html","Mieszkanie, ul. Sucharskiego","Sucharskiego 74b, Bieżanów, Kraków, małopolskie",1 180 000 zł,"101,58 m²","11 616,46 zł/m²",parter,1,5,2024,wiata garażowa,pierwotny (zobacz inne nowe mieszkania w Krakowie),
