url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-kuchnia-z-oknem/24908644.html","Mieszkanie, ul. Astronautów","Astronautów, Bielany, Kraków, małopolskie",469 000 zł,33 m²,"14 212,12 zł/m²",2,2.0,1,-,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24915249.html",Mieszkanie Kraków,"Stare Miasto, Kraków, małopolskie",1 750 000 zł,95 m²,"18 421,05 zł/m²",2,4.0,3,1938,parking strzeżony w pobliżu,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24915135.html","Mieszkanie, ul. Dajwór","Dajwór, Kazimierz, Kraków, małopolskie",950 000 zł,55 m²,"17 272,73 zł/m²",1,3.0,2,-,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24915108.html","Mieszkanie, ul. Sławka","Sławka, Dzielnica XI Podgórze Duchackie, Kraków, małopolskie",889 000 zł,"59,83 m²","14 858,77 zł/m²",6,8.0,3,2023,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24915262.html","Kawalerka, ul. Wójtowska","Wójtowska, Krowodrza, Kraków, małopolskie",550 000 zł,25 m²,22 000 zł/m²,1,10.0,1,1970,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu/24915020.html","Mieszkanie, ul. Okólna","Okólna, Kraków, małopolskie",519 000 zł,37 m²,"14 027,03 zł/m²",1,,2,1970,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24915622.html","Mieszkanie, ul. Bułgarska","Bułgarska, Ruczaj, Kraków, małopolskie",489 750 zł,"32,65 m²",15 000 zł/m²,parter,2.0,2,1980,przynależne na ulicy,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24915248.html",Mieszkanie Kraków,"Kazimierz, Kraków, małopolskie",1 030 000 zł,52 m²,"19 807,69 zł/m²",2,3.0,1,1930,parking strzeżony w pobliżu,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24912510.html","Mieszkanie, ul. Smoleńsk","Smoleńsk, Śródmieście, Kraków, małopolskie",499 000 zł,"39,16 m²",12 743 zł/m²,1,3.0,2,1850,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24897948.html","Mieszkanie, ul. Papierni Prądnickich","Papierni Prądnickich, Górka Narodowa, Kraków, małopolskie",649 999 zł,41 m²,"15 853,63 zł/m²",parter,5.0,2,2024,garaż wolnostojący,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
