url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/2-pokoje-mlyny-mogilska-blisko-centrum-ID4pMD3,2 pokoje | Młyny Mogilska | Blisko centrum,"ul. Mogilska, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie",829 840 zł,"40,48 m²",20 500 zł/m²,2/5,2,2024,garaż/miejsce parkingowe,wtórny,pełna własność,do wykończenia,,,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/2-pokoje-mlyny-mogilska-blisko-centrum-ID4pMD5,2 pokoje | Młyny Mogilska | Blisko centrum,"ul. Mogilska, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie","1 104 144,79 zł","55,21 m²",19 999 zł/m²,3/5,3,2024,garaż/miejsce parkingowe,wtórny,pełna własność,do wykończenia,,,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/promocja-4-pokoje-garaz-swietna-lokalizacja-ID4qmrI,Promocja| 4 pokoje | garaż | świetna lokalizacja,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie",998 216 zł,"57,62 m²",17 324 zł/m²,1/4,4,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,inny
https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-kopiec-kosciuszki-ID4qmsy,Mieszkanie z widokiem na Kopiec Kościuszki,"Piasek, Stare Miasto, Kraków, małopolskie",1 290 000 zł,80 m²,16 125 zł/m²,3/4,3,1896,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,900 zł,kotłownia,biuro nieruchomości,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/3-pokoje-60m2-0-prowizji-balkon-widokowe-ID4qmsS,3 Pokoje| 60M2 | 0% Prowizji | Balkon| Widokowe,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",754 375 zł,"60,35 m²",12 500 zł/m²,6/8,3,2025,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/mieszkanie-w-stanie-deweloperskim-kamienica-ID4qmtH,Mieszkanie w stanie deweloperskim - Kamienica,"ul. Długa, Kleparz, Stare Miasto, Kraków, małopolskie",1 250 000 zł,70 m²,17 857 zł/m²,3/4,2,1937,,wtórny,pełna własność,do wykończenia,300 zł,gazowe,biuro nieruchomości,nie,balkon,kamienica,cegła
https://www.otodom.pl/pl/oferta/nowy-apartament-develia-krakow-grzegorzecka-79c-ID4q1Sq,NOWY APARTAMENT DEVELIA KRAKÓW GRZEGÓRZECKA 79C,"ul. Grzegórzecka, Grzegórzki, Grzegórzki, Kraków, małopolskie",1 890 000 zł,"90,57 m²",20 868 zł/m²,6/6,4,2024,garaż/miejsce parkingowe,wtórny,pełna własność,do wykończenia,,miejskie,prywatny,tak,balkon,apartamentowiec,silikat
https://www.otodom.pl/pl/oferta/jasne-2-pokoje-tramwaj-pelen-mpec-ID4qmtM,"Jasne 2 pokoje, tramwaj, pełen Mpec","ul. Białoprądnicka, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",743 680 zł,"46,48 m²",16 000 zł/m²,5/5,2,2017,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,510 zł,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/kawalerka-30m2-z-balkonem-bronowice-nowe-ID4qmtL,"Kawalerka 30m2 z balkonem, Bronowice Nowe","ul. Stańczyka, Nowa Wieś, Krowodrza, Kraków, małopolskie",650 000 zł,30 m²,21 667 zł/m²,4/14,1,2022,,wtórny,pełna własność,,400 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-48m2-balkon-bez-prowizji-ID4pRVX,3-pokojowe mieszkanie 48m2 + balkon Bez Prowizji,"ul. Macieja Słomczyńskiego, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",712 772 zł,"48,82 m²",14 600 zł/m²,5/5,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/mieszkanie-67-72-m-krakow-ID4pFDn,"Mieszkanie, 67,72 m², Kraków","ul. Zabłocie, Zabłocie, Podgórze, Kraków, małopolskie",1 293 452 zł,"67,72 m²",19 100 zł/m²,7/7,4,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,,,inne,biuro nieruchomości,tak,ogródek,blok,brak informacji
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-ID4msN2,2-pokojowe mieszkanie 39m2 + balkon,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie",Zapytaj o cenę,"39,42 m²",,2/4,2,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/plaszow-bagry-2-pok-balko-garaz-komorka-30-70-ID4pPT3,Płaszów / Bagry 2 pok balko garaż komórka 30/70,"ul. Lasówka, Płaszów, Podgórze, Kraków, małopolskie",559 000 zł,"35,62 m²",15 693 zł/m²,3/7,2,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,330 zł,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/idealne-pod-inwestycje-ID4pQ64,Idealne pod inwestycje,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie",695 350 zł,"38,17 m²",18 217 zł/m²,parter/5,2,2024,,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/merite-serena-mieszkanie-2-pok-37-ID4psYX,Merite Serena | mieszkanie 2-pok. | 37,"ul. Barbary, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",694 314 zł,"45,38 m²",15 300 zł/m²,3/4,2,,garaż/miejsce parkingowe,,użytkowanie wieczyste / dzierżawa,do wykończenia,,miejskie,,,balkon,,
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-99m2-taras-bez-prowizji-ID4nJtF,4-pokojowe mieszkanie 99m2 + taras Bez Prowizji,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",1 477 186 zł,"99,14 m²",14 900 zł/m²,4/4,4,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,taras,,
https://www.otodom.pl/pl/oferta/mlyny-mogilska-wyjatkowa-inwestycja-3-pok-ID4pt5k,Młyny Mogilska/ wyjątkowa inwestycja/ 3 pok/,"ul. Mogilska, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie",1 232 550 zł,"54,78 m²",22 500 zł/m²,1,3,brak informacji,,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,nie,balkon,apartamentowiec,inny
https://www.otodom.pl/pl/oferta/okazyjnie-3-pokojowe-bienczyce-ID4pjs3,Okazyjnie 3 pokojowe Bieńczyce,"Osiedle Niepodległości, Bieńczyce, Bieńczyce, Kraków, małopolskie",540 000 zł,44 m²,12 273 zł/m²,4/4,3,1978,garaż/miejsce parkingowe,wtórny,pełna własność,,543 zł,miejskie,biuro nieruchomości,nie,,blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-58-80-m-krakow-ID4qjNT,"Mieszkanie, 58,80 m², Kraków","Ludwinów, Dębniki, Kraków, małopolskie",900 000 zł,"58,8 m²",15 306 zł/m²,2/4,3,1968,,wtórny,,,695 zł,miejskie,biuro nieruchomości,nie,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-50-m-krakow-ID4qjNU,"Mieszkanie, 50 m², Kraków","Opatkowice, Swoszowice, Kraków, małopolskie",814 724 zł,50 m²,16 294 zł/m²,2/2,3,2016,garaż/miejsce parkingowe,wtórny,,,,gazowe,biuro nieruchomości,nie,balkon,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-ID4qjOu,Mieszkanie 2 pokojowe,"ul. Powstańców, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",770 000 zł,"52,02 m²",14 802 zł/m²,1/12,2,1980,,wtórny,pełna własność,do zamieszkania,700 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-43-63-m-krakow-ID4qjNX,"Mieszkanie, 43,63 m², Kraków","Bieńczyce, Bieńczyce, Kraków, małopolskie",653 147 zł,"43,63 m²",14 970 zł/m²,7/10,2,1960,,wtórny,,,700 zł,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/przytulne-studio-z-ogrodkiem-apartamenty-novum-ID4qjP5,Przytulne studio z ogródkiem | Apartamenty Novum,"ul. Rakowicka, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",634 000 zł,26 m²,24 385 zł/m²,parter/5,1,2022,,wtórny,pełna własność,do zamieszkania,496 zł,miejskie,biuro nieruchomości,tak,ogródek,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-w-apartamentowcu-bronowice-ID4qjPf,Przestronne 3 pokoje w apartamentowcu Bronowice,"ul. Stanisława Przybyszewskiego, Małe Błonia, Krowodrza, Kraków, małopolskie",1 330 000 zł,"63,21 m²",21 041 zł/m²,5/9,3,2021,garaż/miejsce parkingowe,wtórny,pełna własność,,750 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/kawalerka-z-duzym-balkonem-na-starym-miescie-ID4qjPu,Kawalerka z dużym balkonem na Starym Mieście,"ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie",670 000 zł,"24,59 m²",27 247 zł/m²,2/4,1,1912,,wtórny,pełna własność,do zamieszkania,450 zł,miejskie,biuro nieruchomości,nie,balkon,kamienica,cegła
https://www.otodom.pl/pl/oferta/apartament-51m2-3-pokoje-bezposrednio-0-pcc-ID4qjQ0,"Apartament 51m2, 3 pokoje, Bezpośrednio, 0% PCC","Stare Podgórze, Podgórze, Kraków, małopolskie",901 856 zł,"51,01 m²",17 680 zł/m²,2/5,3,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/4-pokoje-poddasze-do-remontu-parking-ID4qjPP,"4 pokoje + poddasze, do remontu, parking","Wzgórza Krzesławickie, Wzgórza Krzesławickie, Kraków, małopolskie",989 000 zł,86 m²,11 500 zł/m²,2/2,4,2006,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,,,biuro nieruchomości,nie,,blok,pustak
https://www.otodom.pl/pl/oferta/krowodrza-3-pok-osobna-kuchnia-4-pok-opcjonalnie-ID4qjQ1,Krowodrza 3 pok osobna kuchnia 4 pok opcjonalnie,"ul. Stanisława Wyspiańskiego, Nowa Wieś, Krowodrza, Kraków, małopolskie",669 000 zł,"46,37 m²",14 427 zł/m²,1/8,3,1970,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-z-dostepem-do-tarasu-na-dachu-ID4qjQ2,Mieszkanie z dostępem do tarasu na dachu,"ul. Tadeusza Romanowicza, Zabłocie, Podgórze, Kraków, małopolskie",920 000 zł,40 m²,23 000 zł/m²,1/3,2,2023,,wtórny,,,650 zł,inne,biuro nieruchomości,tak,balkon,apartamentowiec,beton
https://www.otodom.pl/pl/oferta/apartament-54m2-3-pokoje-bez-prowizji-0-pcc-ID4qjQ3,"Apartament 54m2, 3 pokoje, Bez Prowizji, 0% PCC","Stare Podgórze, Podgórze, Kraków, małopolskie",932 237 zł,"53,5 m²",17 425 zł/m²,3/5,3,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/park-bednarskiego-bulwary-wislane-widok-na-wawel-ID4qjQ7,"Park Bednarskiego, Bulwary Wiślane, Widok na Wawel","ul. Jana Zamoyskiego, Stare Podgórze, Podgórze, Kraków, małopolskie",875 000 zł,"34,45 m²",25 399 zł/m²,2/3,2,brak informacji,,wtórny,pełna własność,do zamieszkania,,,biuro nieruchomości,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/ul-grodzka-centrum-podzial-na-2-mieszkania-ID4qjQY,ul. Grodzka/ Centrum/ podział na 2 mieszkania,"Stare Miasto, Stare Miasto, Kraków, małopolskie",1 990 000 zł,50 m²,39 800 zł/m²,1/3,2,brak informacji,,wtórny,pełna własność,do zamieszkania,111 zł,elektryczne,biuro nieruchomości,nie,,kamienica,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-kurdwanow-ID4qjR0,Mieszkanie 2 pokojowe Kurdwanów,"ul. por. Halszki 5, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",589 000 zł,34 m²,17 324 zł/m²,1/10,2,1984,,wtórny,,do zamieszkania,,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-5-pokoi-ogrod-2-miejsca-parkingowe-ID4qjRl,"Mieszkanie 5 Pokoi, Ogród 2 Miejsca Parkingowe","Wzgózra Krzesławicki, Lubocza, Wzgórza Krzesławickie, Kraków, małopolskie",1 150 000 zł,"96,45 m²",11 923 zł/m²,,5,2022,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,383 zł,gazowe,biuro nieruchomości,nie,"balkon, ogródek",szeregowiec,brak informacji
https://www.otodom.pl/pl/oferta/os-kazimeirzowskie-37-m2-2-pokoje-ID4qjRk,"Os. Kazimeirzowskie -37 M2, 2 Pokoje","osiedle Kazimierzowskie, Bieńczyce, Bieńczyce, Kraków, małopolskie",515 000 zł,37 m²,13 919 zł/m²,8/10,2,1980,,wtórny,spółdzielcze wł. prawo do lokalu,do zamieszkania,528 zł,miejskie,biuro nieruchomości,tak,,blok,brak informacji
https://www.otodom.pl/pl/oferta/bezczynszowe-100-m2-mieszkanie-ul-altanowa-krk-ID4qg5h,Bezczynszowe 100 m2 mieszkanie ul Altanowa Krk,"ul. Altanowa, Bronowice, Bronowice, Kraków, małopolskie",1 395 000 zł,"50,3 m²",27 734 zł/m²,1/2,4,1970,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,1 zł,gazowe,biuro nieruchomości,nie,balkon,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/os-centrum-a-2-pokoje-2-pietro-ID4qjRj,"Os. centrum A - 2 Pokoje, 2 Piętro","osiedle Centrum A, Nowa Huta, Nowa Huta, Kraków, małopolskie",695 000 zł,50 m²,13 900 zł/m²,2/4,2,1953,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,nie,,blok,cegła
https://www.otodom.pl/pl/oferta/narozne-z-balkonem-obok-ul-l-rydla-ID4pW1W,Narożne z balkonem obok ul. L. Rydla!,"ul. Jerzego Samuela Bandtkiego, Bronowice, Bronowice, Kraków, małopolskie",435 000 zł,25 m²,17 400 zł/m²,1/3,1,1950,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,,elektryczne,biuro nieruchomości,nie,balkon,kamienica,brak informacji
https://www.otodom.pl/pl/oferta/funkcjonalne-2pokoje-oddzielna-kuchnia-czyzyny-ID4qjUS,Funkcjonalne 2pokoje | Oddzielna Kuchnia | Czyżyny,"ul. Sołtysowska, Łęg, Czyżyny, Kraków, małopolskie",720 970 zł,"42,41 m²",17 000 zł/m²,5/5,2,2016,garaż/miejsce parkingowe,wtórny,pełna własność,,,,biuro nieruchomości,nie,balkon,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/krakow-pradnik-czerwony-3-pokoje-parter-ID4qjVs,Kraków / Prądnik Czerwony / 3 pokoje / parter,"ul. Józefa Łepkowskiego, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",829 000 zł,"54,97 m²",15 081 zł/m²,parter/10,3,1978,,wtórny,pełna własność,do remontu,674 zł,miejskie,biuro nieruchomości,tak,,blok,wielka płyta
https://www.otodom.pl/pl/oferta/kolej-ska-balkon-zielen-za-oknem-do-aranzacji-ID4qjVJ,"Kolej Ska, Balkon, Zieleń za oknem, Do aranżacji","Plac Bohaterów Getta, Stare Podgórze, Podgórze, Kraków, małopolskie",815 000 zł,"52,67 m²",15 474 zł/m²,4/4,3,1966,,wtórny,,do remontu,,miejskie,biuro nieruchomości,nie,balkon,blok,cegła
https://www.otodom.pl/pl/oferta/zadbane-2-pokojowe-mieszkanie-os-europejskie-ID4qjXg,"Zadbane 2-pokojowe mieszkanie, os. Europejskie","ul. Lubostroń, Ruczaj, Dębniki, Kraków, małopolskie",730 000 zł,"46,27 m²",15 777 zł/m²,5/5,2,2008,,wtórny,pełna własność,do zamieszkania,550 zł,kotłownia,prywatny,tak,balkon,blok,cegła
https://www.otodom.pl/pl/oferta/zaplanuj-swoj-zakup-zyskaj-dofinansowanie-ID4qjVV,Zaplanuj swój zakup! Zyskaj dofinansowanie!,"ul. Lirników, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",841 185 zł,"60,3 m²",13 950 zł/m²,2/11,3,2024,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,,biuro nieruchomości,nie,"balkon, taras",brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/czyzyny-centralna-49m-3-osobne-pokoje-piwnica-ID4qm8R,"Czyżyny, Centralna, 49m²: 3 osobne pokoje +piwnica","ul. Centralna, Łęg, Czyżyny, Kraków, małopolskie",649 900 zł,"49,08 m²",13 242 zł/m²,parter/4,3,1980,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,nie,,blok,wielka płyta
https://www.otodom.pl/pl/oferta/kameralny-apartament-z-ogrodkiem-160m2-ID4qjXy,Kameralny apartament z ogródkiem 160m2.,"ul. Józefa Chełmońskiego, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",1 100 000 zł,76 m²,14 474 zł/m²,parter/2,4,2023,,wtórny,,do wykończenia,100 zł,miejskie,biuro nieruchomości,nie,,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-balkon-bez-prowizji-ID4msNS,3-pokojowe mieszkanie 56m2 + balkon Bez Prowizji,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie",Zapytaj o cenę,"56,44 m²",,4/4,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/zaciszne-m-w-sercu-plaszowa-zamieszkaj-nad-wisla-ID4qm9U,Zaciszne M w sercu Płaszowa | Zamieszkaj nad Wisłą,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",829 000 zł,67 m²,12 373 zł/m²,parter/4,3,1998,garaż/miejsce parkingowe,wtórny,pełna własność,do wykończenia,580 zł,miejskie,prywatny,nie,balkon,blok,inny
https://www.otodom.pl/pl/oferta/nowa-huta-os-sportowe-kawalerka-32m2-ID4qm9s,"Nowa Huta os. Sportowe, kawalerka 32m2","os. Sportowe, Nowa Huta, Nowa Huta, Kraków, małopolskie",439 000 zł,32 m²,13 719 zł/m²,parter/4,1,1960,,wtórny,pełna własność,do remontu,450 zł,miejskie,biuro nieruchomości,nie,,blok,cegła
