url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24779595.html","Mieszkanie, ul. Żelechowskiego","Żelechowskiego, Bronowice, Kraków, małopolskie",889 000 zł,"51,70 m²","17 195,36 zł/m²",1,3.0,2,1980,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24745285.html",Mieszkanie,"Felińskiego, Górka Narodowa, Kraków, małopolskie",899 000 zł,"74,17 m²","12 120,80 zł/m²",2,5.0,3,2003,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24715229.html","Apartament, ul. Lublańska","Lublańska 13, Prądnik Czerwony, Kraków, małopolskie",1 065 000 zł,60 m²,17 750 zł/m²,3,4.0,3,2023,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,deweloperski,przy-lesie/24660916.html","Apartament, ul. Przybyszewskiego","Przybyszewskiego 64d, Bronowice, Kraków, małopolskie",1 225 000 zł,"62,40 m²","19 631,41 zł/m²",7,9.0,3,2021,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/24771570.html","Mieszkanie, ul. Wygoda","Wygoda, Stare Miasto, Kraków, małopolskie",1 200 000 zł,73 m²,"16 438,36 zł/m²",1,3.0,3,1972,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24502820.html",Apartament,"Hamernia, Wola Justowska, Kraków, małopolskie",1 481 000 zł,"84,63 m²","17 499,70 zł/m²",1,1.0,4,2024,garaż,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24750722.html","Mieszkanie, ul. Jadźwingów","Jadźwingów, Mistrzejowice, Kraków, małopolskie",730 000 zł,57 m²,"12 807,02 zł/m²",4,4.0,3,1974,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24740801.html","Mieszkanie, Osiedle Centrum B","Osiedle Centrum B, Centrum B, Kraków, małopolskie",515 000 zł,"37,06 m²","13 896,38 zł/m²",5,7.0,2,1957,parking publiczny / na ulicy,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24470221.html","Kawalerka, ul. Szlak","Szlak, Stare Miasto, Kraków, małopolskie",379 000 zł,"19,80 m²","19 141,41 zł/m²",parter,3.0,1,1908,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24741764.html",Apartament,"Szwedzka, Dębniki, Kraków, małopolskie",1 650 000 zł,"85,41 m²","19 318,58 zł/m²",3,4.0,3,1997,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24754744.html","Mieszkanie, ul. Czeczów","Czeczów, Złocień, Kraków, małopolskie",799 000 zł,"64,74 m²","12 341,67 zł/m²",parter,4.0,3,2013,w garażu podziemnym,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24309314.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,821 804 zł,"64,76 m²",12 690 zł/m²,sierpień 2024,,2,4,garaż,sierpień 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24309289.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,763 430 zł,"60,16 m²",12 690 zł/m²,sierpień 2024,,2,4,garaż,sierpień 2024,pierwotny (oferta dewelopera)
