,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,parking space details,location,latitude,longitude,distance,district
18,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24260710.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",389000.0,25.76,15100.93,2,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
19,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24820646.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",399000.0,25.41,15702.48,4,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
20,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24776408.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",399000.0,25.76,15489.13,1,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
21,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24796929.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",399000.0,26.18,15240.64,0,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
22,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24256267.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",499000.0,39.87,12515.68,1,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
23,"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24258485.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",550098.0,45.09,12200.0,2,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
24,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24258762.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",550098.0,45.09,12200.0,3,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
25,"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24820906.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",559000.0,41.1,13600.97,1,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
26,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24255920.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",569000.0,41.07,13854.39,0,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
27,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24820907.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",569000.0,44.62,12752.13,0,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
28,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24260233.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",579000.0,45.09,12840.98,4,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
29,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24257521.html","Mieszkanie, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",579000.0,45.1,12838.14,1,4,2,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
